starting_node_i,ending_node_j,product_p,period_t,planned_flow
engine-prod,engine-inv,DS9,69,59
engine-prod,engine-inv,DE5,69,52
engine-prod,engine-inv,D83,69,275
engine-prod,engine-inv,D80,69,81
engine-prod,engine-inv,D02,69,43
engine-prod,engine-inv,DP2,69,40
engine-prod,engine-inv,DK7,69,68
engine-prod,engine-inv,DQ4,69,20
engine-prod,engine-inv,D2I,69,39
engine-prod,engine-inv,DR8,69,16
engine-prod,engine-inv,DE4,69,41
engine-prod,engine-inv,D60,69,13
engine-prod,engine-inv,DB8,69,16
engine-prod,engine-inv,DK9,69,11
engine-prod,engine-inv,DM4,69,11
engine-prod,engine-inv,DN6,69,10
engine-prod,engine-inv,DB0,69,5
engine-prod,engine-inv,DF6,69,7
engine-prod,engine-inv,DN1,69,6
engine-prod,engine-inv,DF4,69,1
engine-prod,engine-inv,DE2,69,3
engine-prod,engine-inv,D36,69,1
gear-prod,gear-inv,G0K,69,589
gear-prod,gear-inv,G1C,69,463
gear-prod,gear-inv,G1D,69,289
gear-prod,gear-inv,G1A,69,249
gear-prod,gear-inv,G0C,69,80
gear-prod,gear-inv,G1Z,69,275
gear-prod,gear-inv,G0L,69,33
gear-prod,gear-inv,G0R,69,22
engine-prod,engine-inv,DN4,70,296
engine-prod,engine-inv,DG6,70,263
engine-prod,engine-inv,DK8,70,201
engine-prod,engine-inv,DG8,70,153
engine-prod,engine-inv,D33,70,145
engine-prod,engine-inv,DQ9,70,102
engine-prod,engine-inv,D64,70,105
engine-prod,engine-inv,DS9,70,86
engine-prod,engine-inv,DE5,70,61
engine-prod,engine-inv,D83,70,182
engine-prod,engine-inv,D80,70,55
engine-prod,engine-inv,D02,70,53
engine-prod,engine-inv,DP2,70,33
engine-prod,engine-inv,DK7,70,68
engine-prod,engine-inv,DQ4,70,24
engine-prod,engine-inv,D2I,70,34
engine-prod,engine-inv,DR8,70,22
engine-prod,engine-inv,DE4,70,31
engine-prod,engine-inv,D60,70,20
engine-prod,engine-inv,DB8,70,17
engine-prod,engine-inv,DK9,70,11
engine-prod,engine-inv,DM4,70,7
engine-prod,engine-inv,DN6,70,10
engine-prod,engine-inv,DB0,70,7
engine-prod,engine-inv,DF6,70,5
engine-prod,engine-inv,DN1,70,2
engine-prod,engine-inv,DF4,70,4
engine-prod,engine-inv,DE2,70,1
engine-prod,engine-inv,D36,70,2
gear-prod,gear-inv,G0K,70,631
gear-prod,gear-inv,G1C,70,500
gear-prod,gear-inv,G1D,70,318
gear-prod,gear-inv,G1A,70,214
gear-prod,gear-inv,G0C,70,89
gear-prod,gear-inv,G1Z,70,182
gear-prod,gear-inv,G0L,70,42
gear-prod,gear-inv,G0R,70,24
